date	by-2.0	by-nc-2.0	by-nc-nd-2.0	by-nc-sa-2.0	by-nd-2.0	by-sa-2.0
2007-01-03	3089577	3813863	9386695	7659253	956502	2122225
2007-01-04	3094222	3831104	9422720	7665389	961258	2126037
2007-01-05	3102320	3836010	9461990	7678236	964631	2134555
2007-01-06	3105651	3852286	9487480	7694091	964195	2138127
2007-01-07	3114578	3855571	9514522	7713417	965736	2137865
2007-01-08	3123889	3876737	9508206	7735553	969853	2149124
2007-01-09	3137210	3887903	9562936	7775323	974191	2152801
2007-01-10	3141565	3894191	9589876	7785924	974259	2162226
2007-01-11	3146538	3904378	9616251	7804396	982316	2165057
2007-01-12	3153244	3911566	9649437	7822293	984986	2169927
2007-01-13	3161564	3921553	9667370	7836867	985579	2174137
2007-01-14	3168248	3928668	9691612	7863680	991047	2177688
2007-01-15	3178262	3938588	9728802	7879851	992648	2189310
2007-01-16	3183109	3938392	9752028	7893946	997135	2194200
2007-01-17	3195956	3945936	9792213	7922134	1000615	2199834
2007-01-18	3213799	3953450	9806729	7943160	1004578	2204301
2007-01-19	3222386	3957124	9830099	7946465	1006852	2206546
2007-01-20	3227666	3963369	9851655	7962751	1008573	2208262
2007-01-21	3237277	3971820	9877216	7984188	1004338	2214179
2007-01-22	3245087	3981330	9917611	8002858	1007208	2218479
2007-01-23	3249424	3997806	9941754	8024187	1009936	2220356
2007-01-24	3255243	4008286	9968461	8050082	1011043	2223767
2007-01-25	3257682	4017547	9993312	8065258	1009572	2227080
2007-01-26	3258918	4028436	10023096	8075594	1010120	2231708
2007-01-27	3265257	4050506	10040444	8088856	1012214	2234621
2007-01-28	3272238	4051484	10070401	8108316	1014154	2242847
2007-01-29	3279212	4061443	10109368	8128464	1018448	2250410
2007-01-30	3287622	4067225	10132044	8140975	1019735	2253936
2007-01-31	3293160	4074132	10150693	8158846	1025834	2258429
2007-02-01	3298052	4090889	10168917	8167991	1027031	2265041
2007-02-02	3296361	4095835	10199479	8180976	1028589	2273338
2007-02-03	3299421	4102218	10209440	8191066	1030981	2275078
